Date of request - Thu, 22 Apr 2021 05:57:13 GMT | Method - GET | URL - / | Status - 200
Date of request - Thu, 22 Apr 2021 05:57:13 GMT | Method - GET | URL - /stylesheets/style.css | Status - 404
Date of request - Thu, 22 Apr 2021 05:57:13 GMT | Method - GET | URL - /favicon.ico | Status - 404
Date of request - Thu, 22 Apr 2021 05:58:13 GMT | Method - GET | URL - / | Status - 200
Date of request - Thu, 22 Apr 2021 05:58:13 GMT | Method - GET | URL - /stylesheets/style.css | Status - 404
Date of request - Thu, 22 Apr 2021 05:58:13 GMT | Method - GET | URL - /favicon.ico | Status - 404
Date of request - Thu, 22 Apr 2021 06:01:19 GMT | Method - GET | URL - / | Status - 500
Date of request - Thu, 22 Apr 2021 06:04:35 GMT | Method - GET | URL - / | Status - 500
Date of request - Thu, 22 Apr 2021 06:04:47 GMT | Method - GET | URL - / | Status - 500
Date of request - Thu, 22 Apr 2021 06:04:48 GMT | Method - GET | URL - /favicon.ico | Status - 404
Date of request - Thu, 22 Apr 2021 06:06:20 GMT | Method - GET | URL - / | Status - 200
Date of request - Thu, 22 Apr 2021 06:06:20 GMT | Method - GET | URL - /stylesheets/style.css | Status - 404
Date of request - Thu, 22 Apr 2021 06:07:53 GMT | Method - GET | URL - / | Status - 200
Date of request - Thu, 22 Apr 2021 06:07:53 GMT | Method - GET | URL - /stylesheets/style.css | Status - 404
Date of request - Thu, 22 Apr 2021 06:23:53 GMT | Method - GET | URL - / | Status - 304
Date of request - Thu, 22 Apr 2021 06:23:53 GMT | Method - GET | URL - /stylesheets/style.css | Status - 404
Date of request - Thu, 22 Apr 2021 06:23:54 GMT | Method - GET | URL - / | Status - 304
Date of request - Thu, 22 Apr 2021 06:23:54 GMT | Method - GET | URL - /stylesheets/style.css | Status - 404
Date of request - Thu, 22 Apr 2021 06:23:57 GMT | Method - GET | URL - /stylesheets/style.css | Status - 404
Date of request - Thu, 22 Apr 2021 06:27:24 GMT | Method - GET | URL - / | Status - 304
Date of request - Thu, 22 Apr 2021 06:27:24 GMT | Method - GET | URL - /stylesheets/style.css | Status - 200
Date of request - Thu, 22 Apr 2021 06:27:35 GMT | Method - GET | URL - /stylesheets/style.css | Status - 304
Date of request - Thu, 22 Apr 2021 07:13:46 GMT | Method - GET | URL - / | Status - 304
Date of request - Thu, 22 Apr 2021 07:13:46 GMT | Method - GET | URL - /stylesheets/style.css | Status - 304
Date of request - Thu, 22 Apr 2021 07:13:52 GMT | Method - GET | URL - /dcbashdc | Status - 500
Date of request - Thu, 22 Apr 2021 07:14:17 GMT | Method - GET | URL - /dcbashdc | Status - 404
Date of request - Thu, 22 Apr 2021 07:14:17 GMT | Method - GET | URL - /images/404.png | Status - 404
Date of request - Thu, 22 Apr 2021 07:14:17 GMT | Method - GET | URL - /stylesheets/style.css | Status - 304
Date of request - Thu, 22 Apr 2021 07:14:32 GMT | Method - GET | URL - /dcbashdc | Status - 404
Date of request - Thu, 22 Apr 2021 07:14:33 GMT | Method - GET | URL - /stylesheets/style.css | Status - 304
Date of request - Thu, 22 Apr 2021 07:14:33 GMT | Method - GET | URL - /images/404.png | Status - 200
Date of request - Thu, 22 Apr 2021 07:26:09 GMT | Method - GET | URL - / | Status - 304
Date of request - Thu, 22 Apr 2021 07:26:09 GMT | Method - GET | URL - /stylesheets/style.css | Status - 304
